商品ID,日付,販売個数
1,2010-01,142
1,2010-02,150
1,2010-03,217
1,2010-04,190
1,2010-05,193
1,2010-06,239
1,2010-07,235
1,2010-08,184
1,2010-09,247
1,2010-10,264
1,2010-11,323
1,2010-12,1142
1,2011-01,403
1,2011-02,291
1,2011-03,383
1,2011-04,347
1,2011-05,305
1,2011-06,319
1,2011-07,358
1,2011-08,594
1,2011-09,779
1,2011-10,481
1,2011-11,771
1,2011-12,1952
1,2012-01,421
1,2012-02,396
1,2012-03,559
1,2012-04,610
1,2012-05,511
1,2012-06,1441
1,2012-07,790
1,2012-08,521
1,2012-09,569
1,2012-10,421
1,2012-11,769
1,2012-12,1202
1,2013-01,249
1,2013-02,227
1,2013-03,281
1,2013-04,233
1,2013-05,238
1,2013-06,316
1,2013-07,259
1,2013-08,175
1,2013-09,215
1,2013-10,252
1,2013-11,295
1,2013-12,940
1,2014-01,194
1,2014-02,246
1,2014-03,266
1,2014-04,209
1,2014-05,371
1,2014-06,230
1,2014-07,227
1,2014-08,367
1,2014-09,224
1,2014-10,259
1,2014-11,528
1,2014-12,856
1,2015-01,216
1,2015-02,487
1,2015-03,272
1,2015-04,176
1,2015-05,363
1,2015-06,226
1,2015-07,408
1,2015-08,196
1,2015-09,433
1,2015-10,246
1,2015-11,294
1,2015-12,831
1,2016-01,257
1,2016-02,212
1,2016-03,220
1,2016-04,189
1,2016-05,193
1,2016-06,218
1,2016-07,417
1,2016-08,187
1,2016-09,216
1,2016-10,358
1,2016-11,270
1,2016-12,718
1,2017-01,328
1,2017-02,344
1,2017-03,197
1,2017-04,190
1,2017-05,213
1,2017-06,173
1,2017-07,217
1,2017-08,326
1,2017-09,208
1,2017-10,211
1,2017-11,430
1,2017-12,764
1,2018-01,162
1,2018-02,251
1,2018-03,362
1,2018-04,186
1,2018-05,324
1,2018-06,218
1,2018-07,197
1,2018-08,173
1,2018-09,200
1,2018-10,221
1,2018-11,230
1,2018-12,729
1,2019-01,165
1,2019-02,167
1,2019-03,198
1,2019-04,163
1,2019-05,219
1,2019-06,252
1,2019-07,337
1,2019-08,187
1,2019-09,196
1,2019-10,211
2,2010-01,330
2,2010-02,447
2,2010-03,844
2,2010-04,636
2,2010-05,681
2,2010-06,864
2,2010-07,984
2,2010-08,870
2,2010-09,742
2,2010-10,827
2,2010-11,318
2,2010-12,621
2,2011-01,161
2,2011-02,220
2,2011-03,310
2,2011-04,360
2,2011-05,193
2,2011-06,295
2,2011-07,308
2,2011-08,537
2,2011-09,608
2,2011-10,288
2,2011-11,504
2,2011-12,725
2,2012-01,229
2,2012-02,314
2,2012-03,340
2,2012-04,447
2,2012-05,415
2,2012-06,263
2,2012-07,221
2,2012-08,205
2,2012-09,255
2,2012-10,282
2,2012-11,443
2,2012-12,406
2,2013-01,256
2,2013-02,654
2,2013-03,414
2,2013-04,566
2,2013-05,509
2,2013-06,368
2,2013-07,759
2,2013-08,306
2,2013-09,313
2,2013-10,298
2,2013-11,291
2,2013-12,273
2,2014-01,485
2,2014-02,297
2,2014-03,628
2,2014-04,584
2,2014-05,270
2,2014-06,319
2,2014-07,358
2,2014-08,290
2,2014-09,648
2,2014-10,303
2,2014-11,560
2,2014-12,853
2,2015-01,334
2,2015-02,397
2,2015-03,869
2,2015-04,594
2,2015-05,461
2,2015-06,274
2,2015-07,285
2,2015-08,242
2,2015-09,294
2,2015-10,256
2,2015-11,251
2,2015-12,543
2,2016-01,237
2,2016-02,487
2,2016-03,347
2,2016-04,238
2,2016-05,218
2,2016-06,298
2,2016-07,518
2,2016-08,256
2,2016-09,592
2,2016-10,261
2,2016-11,543
2,2016-12,597
2,2017-01,251
2,2017-02,526
2,2017-03,376
2,2017-04,314
2,2017-05,267
2,2017-06,339
2,2017-07,749
2,2017-08,288
2,2017-09,636
2,2017-10,245
2,2017-11,258
2,2017-12,616
2,2018-01,247
2,2018-02,303
2,2018-03,359
2,2018-04,279
2,2018-05,270
2,2018-06,532
2,2018-07,291
2,2018-08,250
2,2018-09,293
2,2018-10,265
2,2018-11,272
2,2018-12,588
2,2019-01,269
2,2019-02,596
2,2019-03,347
2,2019-04,281
2,2019-05,257
2,2019-06,286
2,2019-07,285
2,2019-08,239
2,2019-09,279
2,2019-10,277
3,2010-01,966
3,2010-02,840
3,2010-03,1310
3,2010-04,1240
3,2010-05,1521
3,2010-06,930
3,2010-07,1468
3,2010-08,820
3,2010-09,1683
3,2010-10,1040
3,2010-11,1060
3,2010-12,1928
3,2011-01,670
3,2011-02,870
3,2011-03,1340
3,2011-04,1220
3,2011-05,890
3,2011-06,1543
3,2011-07,860
3,2011-08,790
3,2011-09,980
3,2011-10,1080
3,2011-11,1150
3,2011-12,1915
3,2012-01,1169
3,2012-02,1200
3,2012-03,1320
3,2012-04,1200
3,2012-05,970
3,2012-06,1736
3,2012-07,860
3,2012-08,710
3,2012-09,1190
3,2012-10,1210
3,2012-11,1700
