商品ID,日付,販売個数見込み
1,2019-11,237
1,2019-12,720
2,2019-11,279
2,2019-12,431
3,2019-11,1060
3,2019-12,1128
4,2019-11,428
4,2019-12,717
5,2019-11,380
5,2019-12,618
6,2019-11,295
6,2019-12,527
7,2019-11,220
7,2019-12,309
8,2019-11,400
8,2019-12,623
9,2019-11,852
9,2019-12,1593
10,2019-11,686
10,2019-12,784
11,2019-11,365
11,2019-12,535
12,2019-11,1010
12,2019-12,1676
13,2019-11,900
13,2019-12,2584
14,2019-11,160
14,2019-12,312
15,2019-11,493
15,2019-12,1152
16,2019-11,1600
16,2019-12,2338
17,2019-11,269
17,2019-12,507
18,2019-11,866
18,2019-12,839
19,2019-11,652
19,2019-12,1292
20,2019-11,576
20,2019-12,749
21,2019-11,523
21,2019-12,670
22,2019-11,477
22,2019-12,803
23,2019-11,940
23,2019-12,1372
24,2019-11,202
24,2019-12,263
25,2019-11,343
25,2019-12,592
26,2019-11,1452
26,2019-12,2513
27,2019-11,334
27,2019-12,585
28,2019-11,870
28,2019-12,3845
29,2019-11,215
29,2019-12,435
30,2019-11,692
30,2019-12,1070
31,2019-11,360
31,2019-12,994
32,2019-11,420
32,2019-12,1254
33,2019-11,226
33,2019-12,390
34,2019-11,929
34,2019-12,1522
35,2019-11,419
35,2019-12,1063
36,2019-11,327
36,2019-12,482
37,2019-11,291
37,2019-12,329
38,2019-11,310
38,2019-12,1018
39,2019-11,714
39,2019-12,1212
40,2019-11,193
40,2019-12,342
41,2019-11,999
41,2019-12,1608
42,2019-11,553
42,2019-12,662
43,2019-11,901
43,2019-12,1435
44,2019-11,2715
44,2019-12,2467
45,2019-11,483
45,2019-12,558
46,2019-11,406
46,2019-12,567
47,2019-11,1882
47,2019-12,3249
48,2019-11,3197
48,2019-12,7427
49,2019-11,600
49,2019-12,1042
50,2019-11,192
50,2019-12,198
51,2019-11,872
51,2019-12,720
52,2019-11,547
52,2019-12,1163
53,2019-11,189
53,2019-12,394
54,2019-11,230
54,2019-12,374
55,2019-11,682
55,2019-12,1389
56,2019-11,1147
56,2019-12,1766
57,2019-11,1274
57,2019-12,1928
58,2019-11,426
58,2019-12,463
59,2019-11,410
59,2019-12,771
60,2019-11,368
60,2019-12,704
61,2019-11,266
61,2019-12,418
62,2019-11,1754
62,2019-12,1481
63,2019-11,1696
63,2019-12,3512
64,2019-11,528
64,2019-12,1090
65,2019-11,667
65,2019-12,773
66,2019-11,1018
66,2019-12,2191
67,2019-11,519
67,2019-12,836
68,2019-11,589
68,2019-12,789
69,2019-11,235
69,2019-12,221
70,2019-11,713
70,2019-12,1521
71,2019-11,160
71,2019-12,261
72,2019-11,1286
72,2019-12,1881
73,2019-11,960
73,2019-12,1938
74,2019-11,389
74,2019-12,910
75,2019-11,480
75,2019-12,371
76,2019-11,201
76,2019-12,265
77,2019-11,314
77,2019-12,571
78,2019-11,244
78,2019-12,212
79,2019-11,1163
79,2019-12,1915
80,2019-11,1064
80,2019-12,1042
81,2019-11,508
81,2019-12,517
82,2019-11,926
82,2019-12,1573
83,2019-11,134
83,2019-12,338
84,2019-11,958
84,2019-12,1637
