商品ID,日付,割引率
1,2010-01,0
1,2010-02,0
1,2010-03,0
1,2010-04,0
1,2010-05,0
1,2010-06,0
1,2010-07,0
1,2010-08,0
1,2010-09,0
1,2010-10,0
1,2010-11,0
1,2010-12,20
1,2011-01,20
1,2011-02,0
1,2011-03,0
1,2011-04,0
1,2011-05,0
1,2011-06,0
1,2011-07,0
1,2011-08,20
1,2011-09,20
1,2011-10,0
1,2011-11,0
1,2011-12,30
1,2012-01,10
1,2012-02,0
1,2012-03,0
1,2012-04,0
1,2012-05,0
1,2012-06,20
1,2012-07,0
1,2012-08,0
1,2012-09,10
1,2012-10,0
1,2012-11,0
1,2012-12,10
1,2013-01,0
1,2013-02,0
1,2013-03,0
1,2013-04,0
1,2013-05,0
1,2013-06,0
1,2013-07,0
1,2013-08,0
1,2013-09,0
1,2013-10,0
1,2013-11,0
1,2013-12,20
1,2014-01,0
1,2014-02,0
1,2014-03,0
1,2014-04,0
1,2014-05,20
1,2014-06,0
1,2014-07,0
1,2014-08,20
1,2014-09,0
1,2014-10,0
1,2014-11,20
1,2014-12,20
1,2015-01,0
1,2015-02,20
1,2015-03,0
1,2015-04,0
1,2015-05,20
1,2015-06,0
1,2015-07,20
1,2015-08,0
1,2015-09,20
1,2015-10,0
1,2015-11,0
1,2015-12,10
1,2016-01,10
1,2016-02,0
1,2016-03,0
1,2016-04,0
1,2016-05,0
1,2016-06,0
1,2016-07,20
1,2016-08,0
1,2016-09,0
1,2016-10,10
1,2016-11,0
1,2016-12,20
1,2017-01,20
1,2017-02,20
1,2017-03,0
1,2017-04,0
1,2017-05,0
1,2017-06,0
1,2017-07,0
1,2017-08,20
1,2017-09,0
1,2017-10,0
1,2017-11,10
1,2017-12,20
1,2018-01,0
1,2018-02,10
1,2018-03,20
1,2018-04,0
1,2018-05,20
1,2018-06,0
1,2018-07,0
1,2018-08,0
1,2018-09,0
1,2018-10,0
1,2018-11,0
1,2018-12,20
1,2019-01,0
1,2019-02,0
1,2019-03,0
1,2019-04,0
1,2019-05,0
1,2019-06,0
1,2019-07,10
1,2019-08,0
1,2019-09,0
1,2019-10,0
2,2010-01,0
2,2010-02,0
2,2010-03,0
2,2010-04,0
2,2010-05,0
2,2010-06,0
2,2010-07,0
2,2010-08,0
2,2010-09,0
2,2010-10,20
2,2010-11,0
2,2010-12,40
2,2011-01,0
2,2011-02,0
2,2011-03,0
2,2011-04,10
2,2011-05,0
2,2011-06,0
2,2011-07,0
2,2011-08,20
2,2011-09,20
2,2011-10,0
2,2011-11,10
2,2011-12,50
2,2012-01,0
2,2012-02,0
2,2012-03,0
2,2012-04,10
2,2012-05,20
2,2012-06,0
2,2012-07,0
2,2012-08,0
2,2012-09,0
2,2012-10,0
2,2012-11,10
2,2012-12,10
2,2013-01,0
2,2013-02,20
2,2013-03,0
2,2013-04,10
2,2013-05,10
2,2013-06,0
2,2013-07,20
2,2013-08,0
2,2013-09,0
2,2013-10,0
2,2013-11,0
2,2013-12,0
2,2014-01,20
2,2014-02,0
2,2014-03,10
2,2014-04,20
2,2014-05,0
2,2014-06,0
2,2014-07,0
2,2014-08,0
2,2014-09,20
2,2014-10,0
2,2014-11,10
2,2014-12,50
2,2015-01,0
2,2015-02,0
2,2015-03,20
2,2015-04,20
2,2015-05,20
2,2015-06,0
2,2015-07,0
2,2015-08,0
2,2015-09,0
2,2015-10,0
2,2015-11,0
2,2015-12,30
2,2016-01,0
2,2016-02,10
2,2016-03,0
2,2016-04,0
2,2016-05,0
2,2016-06,0
2,2016-07,10
2,2016-08,0
2,2016-09,20
2,2016-10,0
2,2016-11,20
2,2016-12,30
2,2017-01,0
2,2017-02,10
2,2017-03,0
2,2017-04,0
2,2017-05,0
2,2017-06,0
2,2017-07,30
2,2017-08,0
2,2017-09,20
2,2017-10,0
2,2017-11,0
2,2017-12,40
2,2018-01,0
2,2018-02,0
2,2018-03,0
2,2018-04,0
2,2018-05,0
2,2018-06,10
2,2018-07,0
2,2018-08,0
2,2018-09,0
2,2018-10,0
2,2018-11,0
2,2018-12,30
2,2019-01,0
2,2019-02,20
2,2019-03,0
2,2019-04,0
2,2019-05,0
2,2019-06,0
2,2019-07,0
2,2019-08,0
2,2019-09,0
2,2019-10,0
3,2010-01,10
3,2010-02,0
3,2010-03,0
3,2010-04,0
3,2010-05,20
3,2010-06,0
3,2010-07,20
3,2010-08,0
3,2010-09,20
3,2010-10,0
3,2010-11,0
3,2010-12,30
3,2011-01,0
3,2011-02,0
3,2011-03,0
3,2011-04,0
3,2011-05,0
3,2011-06,10
3,2011-07,0
3,2011-08,0
3,2011-09,0
3,2011-10,0
3,2011-11,0
3,2011-12,20
3,2012-01,10
3,2012-02,0
3,2012-03,0
3,2012-04,0
3,2012-05,0
3,2012-06,20
3,2012-07,0
3,2012-08,0
3,2012-09,0
3,2012-10,0
3,2012-11,20
3,2012-12,20
3,2013-01,20
3,2013-02,0
3,2013-03,0
3,2013-04,0
3,2013-05,0
3,2013-06,0
3,2013-07,0
3,2013-08,20
3,2013-09,0
3,2013-10,20
3,2013-11,0
3,2013-12,20
3,2014-01,0
3,2014-02,0
3,2014-03,0
3,2014-04,0
3,2014-05,0
3,2014-06,0
3,2014-07,0
3,2014-08,20
3,2014-09,0
3,2014-10,0
3,2014-11,0
3,2014-12,20
3,2015-01,0
3,2015-02,0
3,2015-03,0
3,2015-04,20
3,2015-05,0
3,2015-06,0
3,2015-07,0
3,2015-08,10
3,2015-09,10
3,2015-10,0
3,2015-11,0
3,2015-12,20
3,2016-01,20
3,2016-02,0
3,2016-03,0
3,2016-04,0
3,2016-05,0
3,2016-06,20
3,2016-07,0
3,2016-08,0
3,2016-09,20
3,2016-10,0
3,2016-11,10
3,2016-12,20
3,2017-01,0
3,2017-02,10
3,2017-03,0
3,2017-04,0
3,2017-05,20
3,2017-06,0
3,2017-07,10
3,2017-08,0
3,2017-09,0
3,2017-10,0
3,2017-11,0
3,2017-12,0
3,2018-01,0
3,2018-02,20
3,2018-03,0
3,2018-04,0
3,2018-05,0
3,2018-06,10
3,2018-07,0
3,2018-08,0
3,2018-09,0
3,2018-10,0
3,2018-11,10
3,2018-12,30
3,2019-01,0
3,2019-02,0
3,2019-03,0
3,2019-04,0
3,2019-05,0
3,2019-06,0
3,2019-07,0
3,2019-08,0
3,2019-09,0
3,2019-10,0
4,2010-01,0
4,2010-02,0
4,2010-03,0
4,2010-04,0
4,2010-05,0
4,2010-06,0
4,2010-07,0
4,2010-08,20
4,2010-09,20
4,2010-10,0
4,2010-11,20
4,2010-12,50
4,2011-01,0
4,2011-02,0
4,2011-03,0
4,2011-04,0
4,2011-05,0
4,2011-06,0
4,2011-07,0
4,2011-08,0
4,2011-09,0
4,2011-10,0
4,2011-11,20
4,2011-12,20
4,2012-01,0
4,2012-02,20
4,2012-03,10
4,2012-04,10
4,2012-05,0
4,2012-06,0
4,2012-07,0
4,2012-08,30
4,2012-09,0
4,2012-10,10
4,2012-11,0
4,2012-12,20
4,2013-01,0
4,2013-02,10
4,2013-03,0
4,2013-04,10
4,2013-05,0
4,2013-06,0
4,2013-07,20
4,2013-08,0
4,2013-09,0
4,2013-10,0
4,2013-11,10
4,2013-12,30
4,2014-01,0
4,2014-02,0
4,2014-03,0
4,2014-04,0
4,2014-05,0
4,2014-06,20
4,2014-07,20
4,2014-08,0
4,2014-09,0
4,2014-10,0
4,2014-11,0
4,2014-12,20
4,2015-01,0
4,2015-02,10
4,2015-03,0
4,2015-04,10
4,2015-05,0
4,2015-06,0
4,2015-07,0
4,2015-08,20
4,2015-09,0
4,2015-10,0
4,2015-11,0
4,2015-12,20
4,2016-01,0
4,2016-02,0
4,2016-03,10
4,2016-04,10
4,2016-05,0
4,2016-06,0
4,2016-07,0
4,2016-08,0
4,2016-09,0
4,2016-10,0
4,2016-11,0
4,2016-12,30
4,2017-01,0
4,2017-02,0
4,2017-03,10
4,2017-04,0
4,2017-05,0
4,2017-06,0
4,2017-07,0
4,2017-08,0
4,2017-09,0
4,2017-10,0
4,2017-11,0
4,2017-12,30
4,2018-01,0
4,2018-02,0
4,2018-03,10
4,2018-04,0
4,2018-05,0
4,2018-06,0
4,2018-07,0
4,2018-08,0
4,2018-09,0
4,2018-10,0
4,2018-11,0
4,2018-12,10
4,2019-01,0
4,2019-02,20
4,2019-03,0
4,2019-04,0
4,2019-05,0
4,2019-06,30
4,2019-07,0
4,2019-08,0
4,2019-09,10
4,2019-10,0
5,2010-01,0
5,2010-02,10
5,2010-03,0
5,2010-04,10
5,2010-05,0
5,2010-06,0
5,2010-07,20
5,2010-08,0
5,2010-09,20
5,2010-10,20
5,2010-11,0
5,2010-12,30
5,2011-01,0
5,2011-02,0
5,2011-03,0
5,2011-04,0
5,2011-05,0
5,2011-06,0
5,2011-07,0
5,2011-08,0
5,2011-09,0
5,2011-10,0
5,2011-11,0
5,2011-12,20
5,2012-01,0
5,2012-02,0
5,2012-03,0
5,2012-04,0
5,2012-05,0
5,2012-06,0
5,2012-07,0
5,2012-08,0
5,2012-09,0
5,2012-10,0
5,2012-11,0
5,2012-12,20
5,2013-01,0
5,2013-02,0
5,2013-03,0
5,2013-04,0
5,2013-05,0
5,2013-06,0
5,2013-07,0
5,2013-08,20
5,2013-09,0
5,2013-10,0
5,2013-11,0
5,2013-12,10
5,2014-01,0
5,2014-02,0
5,2014-03,0
5,2014-04,0
5,2014-05,0
5,2014-06,0
5,2014-07,0
5,2014-08,0
5,2014-09,0
5,2014-10,0
5,2014-11,0
5,2014-12,50
5,2015-01,0
5,2015-02,0
5,2015-03,0
5,2015-04,0
5,2015-05,0
5,2015-06,0
5,2015-07,0
5,2015-08,0
5,2015-09,0
5,2015-10,0
5,2015-11,0
5,2015-12,20
5,2016-01,0
5,2016-02,0
5,2016-03,20
5,2016-04,0
5,2016-05,10
5,2016-06,10
5,2016-07,0
5,2016-08,0
5,2016-09,0
5,2016-10,10
5,2016-11,0
5,2016-12,30
5,2017-01,0
5,2017-02,0
5,2017-03,0
5,2017-04,20
5,2017-05,0
5,2017-06,0
5,2017-07,0
5,2017-08,0
5,2017-09,0
5,2017-10,0
5,2017-11,0
5,2017-12,20
5,2018-01,20
5,2018-02,0
5,2018-03,0
5,2018-04,0
5,2018-05,0
5,2018-06,30
5,2018-07,0
5,2018-08,0
5,2018-09,0
5,2018-10,0
5,2018-11,0
5,2018-12,20
5,2019-01,0
5,2019-02,0
5,2019-03,10
